prop, tot, veh, location, amount
"Total propellant","Total","Vehicles total","Copenhagen",873
"Total propellant","Total","Vehicles total","Frederiksberg",139
"Total propellant","Total","Vehicles total","Dragør",23
"Total propellant","Total","Vehicles total","Tårnby",560
"Total propellant","Total","Vehicles total","Albertslund",336
"Total propellant","Total","Vehicles total","Ballerup",169
"Total propellant","Total","Vehicles total","Brøndby",1423
"Total propellant","Total","Vehicles total","Gentofte",220
"Total propellant","Total","Vehicles total","Gladsaxe",313
"Total propellant","Total","Vehicles total","Glostrup",94
"Total propellant","Total","Vehicles total","Herlev",143
"Total propellant","Total","Vehicles total","Hvidovre",162
"Total propellant","Total","Vehicles total","Høje-Taastrup",187
"Total propellant","Total","Vehicles total","Ishøj",63
"Total propellant","Total","Vehicles total","Lyngby-Taarbæk",236
"Total propellant","Total","Vehicles total","Rødovre",204
"Total propellant","Total","Vehicles total","Vallensbæk",49
"Total propellant","Total","Vehicles total","Allerød",74
"Total propellant","Total","Vehicles total","Egedal",107
"Total propellant","Total","Vehicles total","Fredensborg",104
"Total propellant","Total","Vehicles total","Frederikssund",95
"Total propellant","Total","Vehicles total","Furesø",103
"Total propellant","Total","Vehicles total","Gribskov",77
"Total propellant","Total","Vehicles total","Halsnæs",54
"Total propellant","Total","Vehicles total","Helsingør",183
"Total propellant","Total","Vehicles total","Hillerød",126
"Total propellant","Total","Vehicles total","Hørsholm",232
"Total propellant","Total","Vehicles total","Rudersdal",153
"Total propellant","Total","Vehicles total","Bornholm",41
"Total propellant","Total","Vehicles total","Christiansø",0
"Total propellant","Total","Vehicles total","Greve",177
"Total propellant","Total","Vehicles total","Køge",211
"Total propellant","Total","Vehicles total","Lejre",49
"Total propellant","Total","Vehicles total","Roskilde",204
"Total propellant","Total","Vehicles total","Solrød",61
"Total propellant","Total","Vehicles total","Faxe",75
"Total propellant","Total","Vehicles total","Guldborgsund",110
"Total propellant","Total","Vehicles total","Holbæk",192
"Total propellant","Total","Vehicles total","Kalundborg",58
"Total propellant","Total","Vehicles total","Lolland",65
"Total propellant","Total","Vehicles total","Næstved",137
"Total propellant","Total","Vehicles total","Odsherred",40
"Total propellant","Total","Vehicles total","Ringsted",99
"Total propellant","Total","Vehicles total","Slagelse",143
"Total propellant","Total","Vehicles total","Sorø",55
"Total propellant","Total","Vehicles total","Stevns",47
"Total propellant","Total","Vehicles total","Vordingborg",69
"Total propellant","Total","Vehicles total","Assens",55
"Total propellant","Total","Vehicles total","Faaborg-Midtfyn",66
"Total propellant","Total","Vehicles total","Kerteminde",36
"Total propellant","Total","Vehicles total","Langeland",10
"Total propellant","Total","Vehicles total","Middelfart",78
"Total propellant","Total","Vehicles total","Nordfyns",35
"Total propellant","Total","Vehicles total","Nyborg",47
"Total propellant","Total","Vehicles total","Odense",430
"Total propellant","Total","Vehicles total","Svendborg",80
"Total propellant","Total","Vehicles total","Ærø",2
"Total propellant","Total","Vehicles total","Billund",76
"Total propellant","Total","Vehicles total","Esbjerg",265
"Total propellant","Total","Vehicles total","Fanø",4
"Total propellant","Total","Vehicles total","Fredericia",276
"Total propellant","Total","Vehicles total","Haderslev",96
"Total propellant","Total","Vehicles total","Kolding",230
"Total propellant","Total","Vehicles total","Sønderborg",139
"Total propellant","Total","Vehicles total","Tønder",52
"Total propellant","Total","Vehicles total","Varde",67
"Total propellant","Total","Vehicles total","Vejen",76
"Total propellant","Total","Vehicles total","Vejle",320
"Total propellant","Total","Vehicles total","Aabenraa",118
"Total propellant","Total","Vehicles total","Favrskov",86
"Total propellant","Total","Vehicles total","Hedensted",67
"Total propellant","Total","Vehicles total","Horsens",186
"Total propellant","Total","Vehicles total","Norddjurs",66
"Total propellant","Total","Vehicles total","Odder",31
"Total propellant","Total","Vehicles total","Odder",31
"Total propellant","Total","Vehicles total","Odder",31
"Total propellant","Total","Vehicles total","Odder",31
"Total propellant","Total","Vehicles total","Randers",300
"Total propellant","Total","Vehicles total","Samsø",2
"Total propellant","Total","Vehicles total","Silkeborg",269
"Total propellant","Total","Vehicles total","Skanderborg",117
"Total propellant","Total","Vehicles total","Syddjurs",58
"Total propellant","Total","Vehicles total","Aarhus",1096
"Total propellant","Total","Vehicles total","Herning",136
"Total propellant","Total","Vehicles total","Holstebro",130
"Total propellant","Total","Vehicles total","Ikast-Brande",390
"Total propellant","Total","Vehicles total","Lemvig",30
"Total propellant","Total","Vehicles total","Ringkøbing-Skjern",95
"Total propellant","Total","Vehicles total","Skive",79
"Total propellant","Total","Vehicles total","Struer",34
"Total propellant","Total","Vehicles total","Viborg",258
"Total propellant","Total","Vehicles total","Brønderslev",55
"Total propellant","Total","Vehicles total","Frederikshavn",131
"Total propellant","Total","Vehicles total","Hjørring",151
"Total propellant","Total","Vehicles total","Jammerbugt",76
"Total propellant","Total","Vehicles total","Læsø",3
"Total propellant","Total","Vehicles total","Mariagerfjord",73
"Total propellant","Total","Vehicles total","Morsø",46
"Total propellant","Total","Vehicles total","Rebild",50
"Total propellant","Total","Vehicles total","Thisted",82
"Total propellant","Total","Vehicles total","Vesthimmerlands",68
"Total propellant","Total","Vehicles total","Aalborg",436
"Total propellant","Total","Vehicles total","Not stated",33
